PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2015,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2016,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2017,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2018,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2019,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2020,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2021,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2022,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2023,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2024,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2025,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2026,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2027,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2028,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2029,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2030,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2031,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2032,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2033,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2034,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2035,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2036,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2037,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2038,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2039,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2040,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2041,,,,,,0.047314715698228704
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2042,,,,,,0.047314715698228704
