PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,BAU,CostaRica,BACKSTOP,,,,2015,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2016,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2017,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2018,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2019,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2020,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2021,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2022,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2023,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2024,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2025,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2026,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2027,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2028,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2029,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2030,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2031,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2032,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2033,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2034,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2035,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2036,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2037,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOP,,,,2038,,,,,,9999999.0
